20349.00,1.00,-49.48,0.34,0.00,-17.87,0.00,0.00,0.00,-42.13,-1.00,-3.27,0.00,0.01,-0.45,0.00,
20370.00,1.00,-49.37,0.22,0.00,-17.79,0.00,0.00,0.00,-42.13,-1.00,-1.31,0.00,0.03,-0.44,0.00,
20391.00,1.00,-49.29,0.22,0.00,-17.72,0.00,0.00,0.00,-42.11,-1.00,-0.04,0.00,0.04,-0.43,0.00,
20412.00,1.00,-49.24,0.22,0.00,-17.64,0.00,0.00,0.00,-42.09,-1.00,0.82,0.00,0.05,-0.43,0.00,
20433.00,1.00,-49.19,0.22,0.00,-17.58,0.00,0.00,0.00,-42.08,-1.00,1.35,0.00,0.06,-0.43,0.00,
20454.00,1.00,-49.20,0.22,0.00,-17.51,0.00,0.00,0.00,-42.07,-1.00,1.52,0.00,0.07,-0.43,0.00,
20475.00,1.00,-49.21,0.22,0.00,-17.45,-0.11,0.00,0.00,-42.03,-1.00,1.69,0.00,0.08,-0.43,0.00,
20496.00,1.00,-49.17,0.22,0.00,-17.38,-0.11,0.00,0.00,-42.01,-1.00,1.85,0.00,0.09,-0.43,0.00,
20517.00,1.00,-49.11,0.11,0.00,-17.32,-0.11,0.00,0.00,-42.00,-1.00,2.00,0.00,0.10,-0.43,0.00,
20539.00,1.00,-49.07,-0.45,-1.00,-17.24,-0.11,0.00,0.00,-41.97,-1.00,2.19,0.00,0.11,-0.43,0.00,
20560.00,1.00,-49.01,-0.90,-2.00,-17.19,-0.11,0.00,0.00,-41.96,-1.00,2.33,0.00,0.12,-0.43,0.00,
20581.00,1.00,-48.98,-1.46,-3.00,-17.11,-0.11,0.00,0.00,-41.94,-1.00,2.20,0.00,0.12,-0.43,0.00,
20602.00,1.00,-48.95,-2.14,-5.00,-17.05,-0.11,0.00,0.00,-41.91,-1.00,2.08,0.00,0.13,-0.43,0.00,
20623.00,1.00,-48.91,-5.40,-11.00,-16.99,-0.11,0.00,0.00,-41.87,-1.00,2.10,0.00,0.14,-0.43,0.00,
20644.00,1.00,-48.85,-10.35,-21.00,-16.91,0.00,0.00,0.00,-41.84,-1.00,2.24,0.00,0.15,-0.43,0.00,
20665.00,1.00,-48.76,-16.76,-34.00,-16.82,0.00,0.00,0.00,-41.82,-1.00,2.66,0.00,0.15,-0.43,0.00,
20686.00,1.00,-48.69,-26.78,-54.00,-16.74,1.69,0.00,-4.00,-41.80,-1.00,2.82,0.00,0.16,-0.43,0.00,
20707.00,1.00,-48.62,-37.80,-76.00,-16.67,4.39,0.00,-9.00,-41.80,-1.00,2.87,0.00,0.16,-0.42,0.00,
20728.00,1.00,-48.59,-42.53,-86.00,-16.63,4.72,0.00,-10.00,-41.80,-1.00,2.96,0.00,0.17,-0.42,0.00,
20749.00,1.00,-48.59,-44.55,-90.00,-16.57,3.49,0.00,-7.00,-41.76,-3.00,3.10,0.00,0.18,-0.42,0.00,
20770.00,1.00,-48.58,-44.78,-90.00,-16.50,1.69,0.00,-4.00,-41.71,-3.00,2.93,0.00,0.18,-0.42,0.00,
20791.00,1.00,-48.54,-44.89,-90.00,-16.41,0.56,0.00,-2.00,-41.67,-3.00,2.73,0.00,0.19,-0.42,0.00,
20812.00,1.00,-48.47,-43.31,-87.00,-16.32,0.00,0.00,0.00,-41.66,-3.00,2.69,0.00,0.19,-0.42,0.00,
20833.00,1.00,-48.38,-38.03,-77.00,-16.23,-0.11,0.00,0.00,-41.67,-3.00,2.52,0.00,0.19,-0.42,0.00,
20854.00,1.00,-48.33,-26.89,-54.00,-16.17,-2.70,0.00,5.00,-41.67,-3.00,2.32,0.00,0.20,-0.42,0.00,
20875.00,1.00,-48.31,-16.99,-34.00,-16.10,-4.72,0.00,9.00,-41.65,-3.00,2.31,0.00,0.20,-0.42,0.00,
20896.00,1.00,-48.32,-10.24,-22.00,-16.04,-5.06,0.00,10.00,-41.63,-3.00,2.40,0.00,0.21,-0.42,0.00,
20917.00,1.00,-48.36,-6.52,-21.00,-16.03,-5.29,0.00,10.00,-41.63,-3.00,2.39,0.00,0.21,-0.42,0.00,
20938.00,1.00,-48.31,-5.06,-11.00,-16.03,-5.29,0.00,10.00,-41.65,-3.00,2.46,0.00,0.21,-0.42,0.00,
20959.00,1.00,-48.09,-0.79,-2.00,-15.96,-5.29,0.00,10.00,-41.65,-3.00,2.38,0.00,0.22,-0.42,0.00,
20980.00,1.00,-47.93,0.11,0.00,-15.81,-0.79,0.00,1.00,-41.62,-1.00,2.55,0.00,0.22,-0.42,0.00,
21001.00,1.00,-47.84,0.22,0.00,-15.69,-0.34,0.00,0.00,-41.57,-2.00,2.53,0.00,0.22,-0.42,0.00,
21022.00,1.00,-47.73,0.22,0.00,-15.61,-0.22,0.00,0.00,-41.57,-2.00,2.59,0.00,0.22,-0.42,0.00,
21044.00,1.00,-47.73,0.22,0.00,-15.55,-0.22,0.00,0.00,-41.55,-1.00,2.57,0.00,0.23,-0.42,0.00,
21065.00,1.00,-47.72,0.22,0.00,-15.51,-0.22,0.00,0.00,-41.54,-1.00,2.75,0.00,0.23,-0.42,0.00,
21086.00,1.00,-47.64,0.22,0.00,-15.44,-0.22,0.00,0.00,-41.53,-1.00,2.81,0.00,0.23,-0.42,0.00,
21107.00,1.00,-47.58,0.22,0.00,-15.37,-0.22,0.00,0.00,-41.50,-1.00,2.85,0.00,0.23,-0.42,0.00,
21128.00,1.00,-47.50,0.22,0.00,-15.29,-0.22,0.00,0.00,-41.49,-1.00,2.93,0.00,0.24,-0.42,0.00,
