49232.00,57422.00,-0.38
57447.00,66712.00,-0.36
66723.00,75597.00,-0.37
75608.00,84851.00,-0.37
91955.00,99935.00,-0.33
99947.00,108833.00,-0.42
108844.00,117691.00,-0.39
126759.00,135518.00,-0.44
135529.00,144858.00,-0.41
144869.00,154763.00,-0.43
161056.00,169178.00,-0.31
169189.00,178173.00,-0.35
178184.00,187083.00,-0.41
187094.00,193612.00,-0.33
193623.00,202583.00,-0.39
209236.00,216278.00,-0.32
216289.00,223683.00,-0.42
223694.00,231514.00,-0.37
231525.00,238456.00,-0.39
238467.00,245991.00,-0.41
251013.00,257423.00,-0.34
257434.00,265237.00,-0.47
265248.00,272409.00,-0.45
286543.00,294985.00,-0.34
294996.00,303430.00,-0.48
303441.00,311133.00,-0.42
311144.00,317657.00,-0.41
317668.00,325839.00,-0.36
330345.00,338453.00,-0.30
338465.00,345545.00,-0.44
362002.00,370481.00,-0.29
370492.00,377823.00,-0.46
