10348.00,3.00,6.52,30.00,49.00,-3.64,25.00,-90.00,0.35,134.00,-2.54,0.00,0.00,
10369.00,3.00,6.48,30.00,49.00,-3.66,25.00,-90.00,0.37,134.00,-0.95,0.00,0.00,
10390.00,3.00,6.45,30.00,50.00,-3.65,25.00,-90.00,0.40,134.00,-0.31,0.00,0.00,
10411.00,3.00,6.45,30.00,50.00,-3.61,25.00,-90.00,0.43,134.00,-0.25,0.00,0.00,
10432.00,3.00,6.49,30.00,50.00,-3.61,25.00,-90.00,0.46,134.00,-0.14,0.00,0.00,
10453.00,3.00,6.56,30.00,50.00,-3.61,25.00,-90.00,0.47,134.00,-0.13,0.00,0.00,
10474.00,3.00,6.62,30.00,49.00,-3.60,25.00,-90.00,0.48,134.00,-0.03,0.00,0.00,
10495.00,3.00,6.67,30.00,49.00,-3.58,25.00,-90.00,0.49,134.00,-0.14,0.00,0.00,
10516.00,3.00,6.71,30.00,49.00,-3.58,25.00,-90.00,0.49,134.00,0.11,0.00,0.00,
10537.00,3.00,6.74,30.00,50.00,-3.60,25.00,-90.00,0.50,134.00,0.05,0.00,0.00,
10558.00,3.00,6.76,30.00,50.00,-3.61,25.00,-90.00,0.51,134.00,0.13,0.00,0.00,
10579.00,3.00,6.73,30.00,51.00,-3.63,25.00,-90.00,0.53,134.00,0.14,0.00,0.00,
10600.00,3.00,6.65,30.00,52.00,-3.66,25.00,-90.00,0.54,134.00,0.21,0.00,0.00,
10621.00,3.00,6.53,30.00,53.00,-3.71,25.00,-90.00,0.56,134.00,0.34,0.00,0.00,
10642.00,3.00,6.39,30.00,54.00,-3.75,25.00,-90.00,0.58,134.00,0.26,0.00,0.00,
10663.00,3.00,6.30,30.00,54.00,-3.82,25.00,-90.00,0.60,134.00,0.22,0.00,0.00,
10684.00,3.00,6.24,30.00,54.00,-3.90,25.00,-90.00,0.62,134.00,0.12,0.00,0.00,
10705.00,3.00,6.22,30.00,54.00,-3.98,25.00,-90.00,0.64,134.00,0.14,0.00,0.00,
10726.00,3.00,6.27,30.00,53.00,-4.00,25.00,-90.00,0.65,134.00,-0.01,0.00,0.00,
10747.00,3.00,6.35,30.00,53.00,-4.02,25.00,-90.00,0.66,134.00,-0.07,0.00,0.00,
