13907.00,-0.97,-3.65
13928.00,-0.84,-1.30
13949.00,0.19,0.39
13970.00,1.28,1.40
13991.00,2.00,1.37
14012.00,2.63,1.37
14033.00,3.29,1.34
14054.00,4.25,1.38
14075.00,4.89,1.29
14096.00,4.98,1.37
14117.00,5.56,1.42
14138.00,6.39,1.49
14159.00,6.98,1.53
14180.00,7.27,1.66
14202.00,7.98,2.08
14223.00,9.03,2.35
14244.00,9.59,2.60
14265.00,9.34,2.59
14286.00,8.77,2.65
14307.00,8.09,2.70
14328.00,7.93,2.80
14349.00,7.55,2.84
14370.00,6.79,2.95
14391.00,6.36,2.98
14412.00,6.46,2.94
14433.00,6.91,2.84
14454.00,7.11,2.86
14475.00,6.90,2.82
14496.00,7.20,2.87
14517.00,7.74,2.95
14538.00,7.72,2.99
14560.00,7.22,3.00
14581.00,6.95,2.90
14602.00,6.93,2.58
14623.00,6.73,2.27
14644.00,6.16,2.15
14665.00,5.83,2.08
14686.00,5.75,1.88
14707.00,5.67,1.79
14728.00,5.33,1.64
14749.00,4.82,1.57
14770.00,4.53,1.46
14791.00,4.70,1.86
14812.00,4.73,2.17
14833.00,4.41,2.50
14854.00,4.41,2.71
14875.00,5.03,2.58
14896.00,5.66,2.37
14918.00,5.79,2.29
14939.00,6.00,2.18
14960.00,6.53,2.04
14981.00,6.94,2.03
15002.00,6.97,1.97
15023.00,6.71,1.93
15044.00,6.69,1.88
15065.00,7.02,1.91
15086.00,7.09,2.12
15107.00,6.97,2.53
15128.00,7.20,2.60
15149.00,7.69,2.84
15170.00,7.97,2.94
15191.00,7.56,2.54
15212.00,7.58,2.33
15233.00,7.74,2.20
15255.00,7.80,2.05
15276.00,7.62,2.04
15297.00,7.52,2.07
15318.00,8.19,2.07
15339.00,8.45,2.08
15360.00,8.30,2.09
15381.00,8.19,2.04
15402.00,8.21,1.98
15423.00,8.41,1.94
15444.00,8.34,1.94
15465.00,8.12,1.89
15486.00,8.21,2.14
15507.00,7.95,2.40
15528.00,7.45,2.66
15549.00,6.94,2.86
15570.00,6.64,2.96
15591.00,6.56,2.94
15613.00,5.81,2.93
15634.00,4.99,3.02
15655.00,4.32,3.01
15676.00,3.95,3.17
15697.00,3.42,3.28
15718.00,2.86,3.26
15739.00,2.71,3.22
15760.00,2.92,3.20
15781.00,2.91,2.94
15802.00,2.55,2.45
15823.00,2.29,2.05
15844.00,2.34,1.87
15865.00,2.32,1.66
15886.00,1.97,2.04
15907.00,1.78,2.43
15928.00,1.88,2.68
15949.00,1.88,2.93
15971.00,1.58,3.07
15992.00,1.25,3.16
16013.00,1.08,3.22
16034.00,0.59,3.20
16055.00,0.19,3.24
16076.00,-0.17,3.27
16097.00,-0.53,3.29
16118.00,-0.61,3.27
16139.00,-0.72,3.32
16160.00,-0.69,3.33
16181.00,-0.67,3.22
16202.00,-0.44,2.81
16223.00,-0.41,2.55
16244.00,-0.57,2.37
16265.00,-0.81,2.28
16286.00,-0.87,2.26
16307.00,-0.52,2.18
16329.00,-0.26,2.04
16350.00,-0.03,2.20
16371.00,-0.03,2.20
16392.00,0.33,2.06
16413.00,0.46,2.08
16434.00,0.36,2.10
16455.00,0.58,2.01
16476.00,0.66,1.93
16497.00,0.78,2.03
16518.00,0.77,2.07
16539.00,0.71,2.18
16560.00,1.18,2.25
16581.00,1.49,2.20
16602.00,1.46,2.21
16623.00,1.45,2.25
16644.00,1.63,2.20
16666.00,2.00,2.28
16687.00,2.28,2.19
16708.00,2.48,2.08
16729.00,2.67,2.06
16750.00,3.09,2.06
16771.00,3.30,2.11
16792.00,3.41,2.06
16813.00,3.44,2.17
16834.00,3.61,2.13
16855.00,3.90,2.04
16876.00,3.67,1.94
16897.00,3.57,1.80
16918.00,3.81,1.76
16939.00,4.00,1.73
16960.00,4.01,1.69
16981.00,3.83,1.76
17002.00,3.89,1.85
17024.00,4.20,2.07
17045.00,4.46,2.08
17066.00,4.34,2.18
17087.00,4.34,2.24
17108.00,4.52,2.20
17129.00,4.60,2.23
17150.00,4.46,2.25
17171.00,4.25,2.22
17192.00,4.20,2.15
17213.00,4.32,2.11
17234.00,4.11,2.02
17255.00,3.81,2.09
17276.00,3.83,2.01
17297.00,4.06,2.08
17318.00,4.01,2.14
17339.00,3.85,2.22
17360.00,3.74,2.20
17382.00,3.88,2.25
17403.00,3.94,2.26
17424.00,3.68,2.33
17445.00,3.61,2.23
17466.00,3.60,2.28
17487.00,3.40,2.16
17508.00,3.25,2.21
17529.00,3.20,2.19
17550.00,3.20,2.14
17571.00,3.07,2.25
17592.00,2.98,2.30
17613.00,2.95,2.27
17634.00,2.83,2.16
17655.00,3.00,2.17
17676.00,2.94,2.10
17697.00,2.76,2.04
17718.00,2.72,1.98
17740.00,2.69,1.94
17761.00,2.50,1.97
17782.00,2.44,1.93
17803.00,2.35,1.96
17824.00,2.40,2.00
17845.00,2.17,2.04
17866.00,1.88,2.01
17887.00,1.69,2.27
17908.00,1.53,2.63
17929.00,1.67,2.81
17950.00,1.63,3.05
17971.00,1.52,3.02
17992.00,1.71,3.12
18013.00,1.93,3.19
18034.00,2.08,3.27
18055.00,2.23,3.25
18077.00,2.35,3.24
18098.00,2.39,3.26
18119.00,2.30,3.25
18140.00,2.19,3.15
18161.00,2.34,3.16
18182.00,2.46,3.11
18203.00,2.47,3.07
18224.00,2.57,3.09
18245.00,2.49,3.14
