128.961,3.00,36.69,30.00,15.00,15.45,23.22,-3.00,24.33,134.00,6.40,0.00,-0.33,
131.991,3.00,32.87,30.00,-11.00,-14.04,-11.21,0.00,144.16,134.00,6.10,0.00,0.24,
132.013,3.00,32.97,30.00,-10.00,-13.92,-11.27,-6.00,144.44,134.00,6.35,0.00,0.24,
132.034,3.00,33.07,30.00,-11.00,-13.91,-11.34,-12.00,144.77,134.00,6.62,0.00,0.23,
132.055,3.00,33.15,30.00,-10.00,-13.96,-11.41,-12.00,145.13,134.00,6.63,0.00,0.23,
132.076,3.00,33.12,30.00,-8.00,-14.02,-11.49,-11.00,145.54,134.00,7.02,0.00,0.23,
132.097,3.00,32.97,30.00,-7.00,-14.13,-11.59,-9.00,146.04,134.00,7.16,0.00,0.23,
132.118,3.00,32.80,30.00,-7.00,-14.16,-11.69,-1.00,146.56,134.00,7.28,0.00,0.22,
132.139,3.00,32.65,30.00,-7.00,-14.15,-11.80,3.00,147.12,134.00,7.16,0.00,0.22,
132.16,3.00,32.49,30.00,-7.00,-14.14,-11.91,6.00,147.73,134.00,6.99,0.00,0.22,
132.181,3.00,32.24,30.00,-5.00,-14.11,-12.03,10.00,148.39,134.00,6.85,0.00,0.21,
132.202,3.00,32.01,30.00,-5.00,-14.07,-12.15,11.00,149.06,134.00,6.89,0.00,0.21,
132.223,3.00,31.83,30.00,-7.00,-14.02,-12.28,13.00,149.75,134.00,6.52,0.00,0.21,
132.244,3.00,31.80,30.00,-9.00,-13.99,-12.40,10.00,150.45,134.00,6.52,0.00,0.21,
132.265,3.00,31.82,30.00,-9.00,-14.03,-12.52,6.00,151.17,134.00,6.61,0.00,0.20,
132.286,3.00,31.88,30.00,-10.00,-14.10,-12.64,5.00,151.90,134.00,6.36,0.00,0.20,
132.307,3.00,31.94,30.00,-10.00,-14.21,-12.76,3.00,152.65,134.00,6.60,0.00,0.20,
132.328,3.00,32.01,30.00,-11.00,-14.35,-12.89,2.00,153.43,134.00,6.61,0.00,0.20,
132.349,3.00,32.11,30.00,-12.00,-14.54,-13.02,0.00,154.28,134.00,6.69,0.00,0.19,
132.37,3.00,32.24,30.00,-12.00,-14.79,-13.15,0.00,155.19,134.00,6.75,0.00,0.19,
132.391,3.00,32.34,30.00,-13.00,-15.04,-13.29,2.00,156.17,134.00,7.01,0.00,0.19,
132.412,3.00,32.36,30.00,-11.00,-15.30,-13.43,0.00,157.16,134.00,7.05,0.00,0.19,
132.433,3.00,32.38,30.00,-12.00,-15.54,-13.56,1.00,158.12,134.00,7.04,0.00,0.19,
132.454,3.00,32.55,30.00,-17.00,-15.79,-13.68,1.00,159.10,134.00,6.93,0.00,0.19,
145.245,3.00,-9.54,30.00,66.00,-2.88,25.00,-90.00,-0.03,134.00,10.67,0.00,0.22,
145.266,3.00,-9.19,30.00,36.00,-2.37,25.00,-90.00,-0.31,134.00,10.72,0.00,0.21,
145.287,3.00,-8.08,30.00,47.00,-1.99,25.00,-90.00,-0.51,134.00,10.90,0.00,0.20,
145.308,3.00,-7.69,30.00,60.00,-1.62,25.00,-90.00,-0.73,134.00,10.99,0.00,0.18,
145.329,3.00,-7.33,30.00,53.00,-1.18,25.00,-87.00,-1.00,134.00,10.93,0.00,0.17,
145.35,3.00,-6.99,30.00,60.00,-0.54,25.00,-69.00,-1.17,134.00,10.67,0.00,0.16,
145.371,3.00,-6.44,30.00,50.00,0.49,25.00,-38.00,-1.14,134.00,10.40,0.00,0.14,
145.392,3.00,-5.50,30.00,47.00,1.76,25.00,-19.00,-1.00,134.00,10.47,0.00,0.13,
145.413,3.00,-4.23,30.00,32.00,3.31,25.00,9.00,-0.84,134.00,10.60,0.00,0.12,
145.434,3.00,-2.43,30.00,23.00,5.02,25.00,21.00,-0.77,134.00,10.65,0.00,0.10,
145.455,3.00,-0.52,30.00,18.00,6.71,25.00,25.00,-0.60,134.00,10.68,0.00,0.09,
145.476,3.00,1.49,30.00,17.00,8.21,25.00,11.00,-0.48,134.00,10.39,0.00,0.07,
145.497,3.00,3.22,30.00,17.00,9.38,25.00,-1.00,-0.36,134.00,10.17,0.00,0.06,
145.518,3.00,4.84,30.00,18.00,10.37,25.00,-13.00,-0.36,134.00,10.17,0.00,0.05,
145.539,3.00,6.38,30.00,14.00,11.05,25.00,-28.00,-0.27,134.00,10.03,0.00,0.03,
145.56,3.00,7.88,30.00,16.00,11.50,25.00,-44.00,-0.08,134.00,10.33,0.00,0.02,
145.581,3.00,9.22,30.00,14.00,11.64,25.00,-54.00,0.19,134.00,10.56,0.00,0.00,
145.602,3.00,10.48,30.00,14.00,11.88,25.00,-38.00,0.54,134.00,11.05,0.00,-0.01,
145.624,3.00,11.70,30.00,13.00,12.25,25.00,-25.00,0.96,134.00,10.99,0.00,-0.03,
145.645,3.00,12.99,30.00,10.00,12.76,24.99,-10.00,1.53,134.00,10.87,0.00,-0.04,
145.666,3.00,14.23,30.00,10.00,13.51,24.99,16.00,2.15,134.00,10.75,0.00,-0.06,
145.687,3.00,15.34,30.00,12.00,14.46,24.98,27.00,2.79,134.00,10.47,0.00,-0.07,
145.708,3.00,16.34,30.00,13.00,15.43,24.96,33.00,3.46,134.00,10.16,0.00,-0.09,
145.729,3.00,17.30,30.00,10.00,16.31,24.95,32.00,4.15,134.00,9.98,0.00,-0.10,
145.75,3.00,18.41,30.00,5.00,17.14,24.93,27.00,4.84,134.00,9.77,0.00,-0.12,
